"","lake","Collection Date","Depth","Chl-a (ug/L)","SRP (ug P/L)","Total Phosphorus (ug P/L)","Total Nitrogen (mg N/L)","NH4 (mg N/L)","NO3 + NO2 (mg N/L)","DIC (mg C/L)","DOC (mg C/L)","DSi (mg SiO2/L)","Cl- (mg/L)"
"134","Tanners",2023-10-24,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,1.9574,NA
"135","Phalen",2023-10-24,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,2.4819,NA
"136","Bde Maka Ska",2023-10-25,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,1.8147,NA
"137","Cedar",2023-10-25,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,2.1966,NA
"138","Brownie",2023-10-25,"Epi",NA,NA,NA,NA,NA,NA,NA,NA,5.3144,NA
"139","Minnetonka",2023-10-23,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,7.7524,NA
"140","Medicine",2023-10-23,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,9.6449,NA
"141","Parkers",2023-10-23,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,16.8498,NA
"142","Snail",2023-11-13,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Little Johanna",2023-10-26,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,1.9952,NA
"144","Wabasso",2023-11-13,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","McCarrons",2023-10-26,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,10.7862,NA
"146","Tanners",2023-10-24,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,10.417,NA
"147","Phalen",2023-10-24,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,7.018,NA
"148","Bde Maka Ska",2023-10-25,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,4.7059,NA
"149","Cedar",2023-10-25,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,8.6126,NA
"150","Brownie",2023-10-25,"Hypo",NA,NA,NA,NA,NA,NA,NA,NA,2.7169,NA
