"","lake","Risk_Level","Region","Date","Depth","Chl-a (ug/L)","SRP (ug P/L)","Total Phosphorus (ug P/L)","Total Nitrogen (mg N/L)","NH3 (mg N/L)","NO3 + NO2 (mg N/L)","DIC (mg C/L)","DOC (mg C/L)","DSi (mg SiO2/L)","Cl- (ug/L)"
"92","Uhlenkolts","At Risk","Central MN",2023-09-06,"Epi",29.5684723081248,249.3734,572.7047,4.7772,0.8361,0.0045,39.7884,19.1491,8.8593,38.99
"93","Henry","Impacted","Central MN",2023-09-06,"Hypo",NA,123.4617,151.221,7.037,5.3228,0.0163,71.6118,11.1592,8.0128,472.2
"94","Smith","Least Impacted","Central MN",2023-09-06,"Hypo",NA,153.7104,291.1583,1.4233,0.0849,0.0079,35.472,11.7017,3.4085,19.2
"95","Uhlenkolts","At Risk","Central MN",2023-09-06,"Hypo",NA,268.149,532.8896,4.6497,0.7931,0.0097,40.1554,19.7423,9.6267,39.89
"96","Minnetonka","Least Impacted"," West Metro",2023-09-11,"Epi",4.2119523943398,2.1554,17.5141,0.6936,0.008,0.001,29.9111,7.9467,2.9334,59.91
"97","Medicine","At Risk"," West Metro",2023-09-11,"Epi",12.0326522350295,13.0307,46.5076,0.8878,0.0773,0.013,22.9804,9.4993,8.4147,206.48
"98","Parkers","Impacted"," West Metro",2023-09-11,"Epi",11.4765986318058,2.2496,25.046,0.5797,0.0089,0.0013,26.6827,7.8338,5.3026,258.64
"99","Snail","Least Impacted","North Metro",2023-09-14,"Epi",9.38397413550745,2.1254,17.193,0.8526,0.0096,0.0027,15.1922,8.5633,0.2841,122.94
"100","Little Johanna","Impacted","North Metro",2023-09-12,"Epi",11.0192847905538,3.69,38.6238,0.7737,0.0145,0.0114,15.3439,7.3255,0.7835,153.16
"101","Wabasso","At Risk","North Metro",2023-09-12,"Epi",4.75018161371943,1.9636,20.0951,0.7445,0.0137,0.0021,22.155,8.7799,0.9297,71.41
"102","McCarrons","At Risk","East Metro",2023-09-12,"Epi",8.54034186111892,1.0716,17.9164,0.4786,0.0082,0.0025,27.8125,6.8724,1.5205,145.94
"103","Tanners","Impacted","East Metro",2023-09-12,"Epi",17.8607425733296,2.5383,20.1044,0.5978,0.0076,5e-04,27.821,8.8003,2.3305,198.24
"104","Phalen","Least Impacted","East Metro",2023-09-12,"Epi",3.41453359572674,1.4724,13.3749,0.516,0.01,0.0022,21.399,8.761,2.5376,208.44
"105","Bde Maka Ska","At Risk","South Metro",2023-09-13,"Epi",6.25399531440352,0.7214,18.8026,0.6225,0.012,0.0016,25.5375,7.4739,1.8737,176.3
"106","Cedar","Least Impacted","South Metro",2023-09-13,"Epi",15.3846488614001,1.9777,26.7813,0.8591,0.0102,0.0033,26.8417,5.8817,2.0625,165.86
"107","Brownie","Impacted","South Metro",2023-09-13,"Epi",NA,1.8136,72.6225,1.1259,0.0051,0.005,35.651,4.2499,8.0859,348.5
"108","Minnetonka","Least Impacted"," West Metro",2023-09-11,"Hypo",NA,48.4919,123.4781,1.189,0.2204,0.131,34.8103,5.3113,7.3063,55.16
"109","Medicine","At Risk"," West Metro",2023-09-11,"Hypo",NA,194.3451,758.9379,1.5292,1.1719,0.0046,39.4141,5.588,14.566,205.6
"110","Parkers","Impacted"," West Metro",2023-09-11,"Hypo",NA,98.0438,223.8362,1.3489,0.4813,0.0051,NA,3.366,9.2308,491.6
"111","Snail","Least Impacted","North Metro",2023-09-14,"Hypo",NA,19.1529,131.5131,1.2803,0.0343,0.0044,26.2027,5.0649,0.345,115.88
"112","Little Johanna","Impacted","North Metro",2023-09-12,"Hypo",NA,198.8313,261.3677,20.172,NA,0.0052,NA,7.4651,2.1904,NA
"113","Wabasso","At Risk","North Metro",2023-09-12,"Hypo",NA,111.6087,515.0129,3.3432,1.8531,0.0025,33.4514,5.6558,4.0906,75.81
"114","McCarrons","At Risk","East Metro",2023-09-12,"Hypo",NA,728.6348,952.2128,4.6139,4.81859487179487,0.0109,NA,5.5221,10.2479,175.6
