"","lake","Date","Depth","Chl-a (ug/L)","SRP (ug P/L)","Total Phosphorus (ug P/L)","Total Nitrogen (mg N/L)","NH4 (mg N/L)","NO3 + NO2 (mg N/L)","DIC (mg C/L)","DOC (mg C/L)","DSi (mg SiO2/L)","Cl- (mg/L)"
"167","Wabasso",2024-04-12,"Epi",2.05,8.0546,103.3033,1.0515,NA,-0.0013,19.4891,9.4127,0.2661,NA
"168","McCarrons",2024-04-12,"Hypo",NA,9.6389,209.6042,0.8159,NA,0.0937,34.924,8.9595,0.3595,NA
"169","McCarrons",2024-04-12,"Epi",13.07,15.5826,177.4439,0.8999,NA,0.0907,35.2358,8.9143,0.1089,NA
"170","Little Johanna",2024-04-15,"Hypo",NA,1770.9691,4978.626,21.344,NA,-7e-04,63.4529,12.3353,17.828,NA
"171","Little Johanna",2024-04-15,"Epi",1.84,30.1946,97.2536,0.7879,NA,0.045,17.2122,6.5723,0.9606,NA
"172","Tanners",2024-04-15,"Hypo",NA,58.9618,166.7265,0.346,NA,0.0064,31.9364,11.3126,0.1004,NA
"173","Tanners",2024-04-15,"Epi",2.37,19.2805,78.3482,0.4678,NA,0.0048,32.2545,11.5016,0.1939,NA
"174","Phalen",2024-04-15,"Hypo",NA,19.7847,53.3636,0.3468,NA,-7e-04,28.2881,10.8334,0.2661,NA
"175","Phalen",2024-04-15,"Epi",2.85,17.2387,50.9711,0.4779,NA,-8e-04,28.3269,10.8687,0.0325,NA
"176","Little Johanna",2024-04-15,"Epi",1.81,32.8257,91.7688,0.6707,NA,0.0581,20.4626,8.5765,0.0282,NA
"177","Cedar",2024-04-19,"Hypo",NA,29.1577,58.5802,0.6886,NA,-8e-04,32.3053,10.7852,1.294,NA
"178","Cedar",2024-04-19,"Epi",7.84,91.0407,142.5878,0.5553,NA,-0.0059,31.8048,10.8356,0.3723,NA
"179","Brownie",2024-04-19,"Hypo",NA,150.948,687.7593,18.2834,NA,-0.0017,70.793,11.0153,2.7339,NA
"180","Brownie",2024-04-19,"Epi",7.3,13.7622,55.423,0.476,NA,0.0647,36.1158,7.4156,0.7163,NA
"181","Parkers",2024-04-22,"Hypo",NA,18.108,78.4887,0.4917,NA,-6e-04,39.5097,6.8893,1.8717,NA
"182","Parkers",2024-04-22,"Epi",5,6.4959,60.274,0.5801,NA,-0.0053,35.8257,6.7355,0.5804,NA
"183","Snail",2024-04-22,"Hypo",NA,19.7256,60.4721,0.7557,NA,-0.0011,18.7292,8.857,0.0749,NA
"184","Snail",2024-04-22,"Epi",1.41,5.7543,24.9209,0.596,NA,0.0337,18.9604,9.1673,0.0495,NA
"185","Bde Maka Ska",2024-04-22,"Hypo",NA,10.446,55.3729,0.5871,NA,0.0388,31.2995,8.6502,0.0537,NA
"186","Bde Maka Ska",2024-04-22,"Epi",3.91,13.928,119.1428,0.6279,NA,0.0309,31.4784,10.7852,0.041,NA
"187","Smith",2024-05-07,"Hypo",NA,37.3899,124.604,0.1862,NA,-7e-04,38.4523,10.6044,12.7404,NA
"188","Smith",2024-05-07,"Epi",7.24,30.5792,86.5277,0.1541,NA,0.3298,39.6808,10.8719,12.6259,NA
"189","Henry",2024-05-07,"Hypo",NA,27.1477,60.97,0.1649,NA,0.3063,45.7729,12.0203,1.9165,NA
"190","Henry",2024-05-07,"Epi",10.51,16.5183,50.7521,0.1546,NA,0.311,43.2569,12.4896,0.971,NA
"191","Uhlenkolts",2024-05-07,"Hypo",NA,226.7943,417.7492,0.1285,NA,0.7112,40.392,20.2848,0.7633,NA
"192","Uhlenkolts",2024-05-07,"Epi",71.57,223.2772,464.9493,0.1386,NA,0.6436,39.7998,20.7141,0.3012,NA
"193","Snail",2024-05-13,"Hypo",NA,9.3223,45.4971,0.2048,NA,0.0067,23.5547,10.9512,0.2376,NA
"194","Snail",2024-05-13,"Epi",1.26,49.1613,119.2693,0.2034,NA,-1e-04,20.6203,11.8418,0.1485,NA
"195","Wabasso",2024-05-13,"Hypo",NA,21.6324,79.0165,0.1905,NA,0.0137,27.1093,11.7317,1.4162,NA
"196","Wabasso",2024-05-13,"Epi",0.68,16.021,44.604,0.2034,NA,-0.0044,22.4819,12.5259,0.1782,NA
